Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
"1,290",Pathos - Segreta inquietudine,https://www.imdb.com/title/tt0095834/,1988,,89,"Horror, Mystery, Sci-Fi",5.1,A cop is assigned to catch a serial killer who is murdering his way through Rome's sexual underground.,,Piccio Raffanini,"Virginia Hey, G̩rard Darmon, Gioia Scola, Dario Parisini"
"1,291",Shadowzone,https://www.imdb.com/title/tt0100586/,1990,,88,"Horror, Sci-Fi",5.2,See full summary,,J.S. Cardone,"Louise Fletcher, David Beecroft, James Hong, Frederick Flynn"
"1,292",Il plenilunio delle vergini,https://www.imdb.com/title/tt0070547/,1973,,83,Horror,5.4,"Lady Dracula uses Dracula's ring to lure beautiful girls to her castle, where she murders them so she can bathe in their blood.",,"Luigi Batzella, Joe D'Amato","Mark Damon, Rosalba Neri, Esmeralda Barros, Enza Sbordone"
"1,293",Straight Into Darkness,https://www.imdb.com/title/tt0287733/,2004,R,95,"Action, Drama, Horror",5.0,See full summary,,Jeff Burr,"Ryan Francis, Scott MacDonald, Linda Thorson, James Le Gros"
"1,294",Night Life,https://www.imdb.com/title/tt0097972/,1989,,89,Horror,5.7,See full summary,,David Acomba,"Scott Grimes, John Astin, Cheryl Pollak, Anthony Geary"
"1,295",Dear Dead Delilah,https://www.imdb.com/title/tt0068456/,1972,,95,Horror,5.6,"A sickly matriarch of a dysfunctional family living in an old Southern mansion teases her siblings about finding a long lost treasure hidden in the premises, little did she know that there is someone ready to kill to get their hands on it.",,John Farris,"Agnes Moorehead, Will Geer, Michael Ansara, Dennis Patrick"
"1,296",Visitors,https://www.imdb.com/title/tt0301989/,2003,R,100,"Drama, Horror, Mystery",5.0,"The story of Georgia Perry, the first woman to sail around the world solo.",,Richard Franklin,"Radha Mitchell, Susannah York, Ray Barrett, Dominic Purcell"
"1,297",Home Movie,https://www.imdb.com/title/tt1267319/,2008,R,77,"Drama, Horror, Thriller",5.6,"In the remote woods of Upstate New York, David and Clare Poe are attempting to live an idyllic life. However, their twin children's bizarre behavior might just tear the family apart.",,Christopher Denham,"Adrian Pasdar, Cady McClain, Amber Joy Williams, Austin Williams"
"1,298",Yeogo goedam,https://www.imdb.com/title/tt0241073/,1998,R,105,"Drama, Horror, Mystery",6.1,See full summary,,Ki-hyeong Park,"Kang-hee Choi, Gyu-ri Kim, Min-Jung Kim, Roe-ha Kim"
"1,299",Hunter's Blood,https://www.imdb.com/title/tt0093232/,1986,,101,"Adventure, Horror, Thriller",5.9,See full summary,,Robert C. Hughes,"Sam Bottoms, Kim Delaney, Clu Gulager, Ken Swofford"
