Index,Title,Link,Year,Certification,Runtime,Genres,Rating,Description,Gross,Director,Stars
898,Darkness,https://www.imdb.com/title/tt0273517/,2002,PG-13,88,Horror,5.5,"A teenage girl moves into a remote countryside house with her family, only to discover that their gloomy new home has a horrifying past that threatens to destroy the family.","22,163,442",Jaume BalaguerÃ³,"Anna Paquin, Lena Olin, Iain Glen, Giancarlo Giannini"
899,Nightmare,https://www.imdb.com/title/tt0082818/,1981,,97,Horror,5.7,A mental patient embarks on a murder spree upon escaping from an institution.,,Romano Scavolini,"Baird Stafford, Sharon Smith, C.J. Cooke, Mik Cribben"
900,The Borderlands,https://www.imdb.com/title/tt2781832/,2013,R,89,Horror,5.8,"A team of Vatican investigators descend upon a church in a remote area to demystify the unusual happenings, but what they discover is more disturbing than they had first imagined.",,Elliot Goldner,"Gordon Kennedy, Robin Hill, Aidan McArdle, Sarah Annis"
901,Inferno in diretta,https://www.imdb.com/title/tt0089338/,1985,R,90,"Adventure, Horror, Thriller",5.7,A reporter and her cameraman connect a surviving Jonestown leader and a TV exec's missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.,"374,530",Ruggero Deodato,"Lisa Blount, Leonard Mann, Willie Aames, Richard Lynch"
902,The Sender,https://www.imdb.com/title/tt0084658/,1982,,91,"Drama, Horror, Sci-Fi",6.1,"A disturbed telepathic man is unable to fully control his ability to transmit his dreams and visions into the minds of the people around him, or even influence reality. A female therapist tries to help him, but his mother gets in the way.","1,054,328",Roger Christian,"Kathryn Harrold, Zeljko Ivanek, Shirley Knight, Paul Freeman"
903,Night Warning,https://www.imdb.com/title/tt0082813/,1981,,96,"Horror, Mystery, Thriller",6.4,An orphaned teenager finds himself being dominated by his aunt who's hell-bent on keeping him with her...at all costs.,,William Asher,"Jimmy McNichol, Susan Tyrrell, Bo Svenson, Marcia Lewis"
904,Suck,https://www.imdb.com/title/tt1323605/,2009,R,91,"Comedy, Horror, Music",6.1,A comedy centered on a rock 'n' roll band that will do anything to become famous.,,Rob Stefaniuk,"Rob Stefaniuk, Jessica ParÃ©, Paul Anthony, Mike Lobel"
905,Long Weekend,https://www.imdb.com/title/tt1098356/,2008,R,88,"Drama, Horror, Thriller",5.1,A vacationing couple in the wilderness learns what happens when they disrespect nature.,,Jamie Blanks,"Jim Caviezel, Claudia Karvan, Star, John Brumpton"
906,Mary Reilly,https://www.imdb.com/title/tt0117002/,1996,R,108,"Drama, Horror, Romance",5.8,"A housemaid falls in love with Dr. Henry Jekyll (John Malkovich) and his darkly mysterious counterpart, Mr. Edward Hyde.","5,600,000",Stephen Frears,"Julia Roberts, John Malkovich, George Cole, Michael Gambon"
907,Sette note in nero,https://www.imdb.com/title/tt0075614/,1977,,95,"Horror, Mystery, Thriller",7.0,"A clairvoyant woman discovers a skeleton in a wall in her husband's house, and seeks to find the truth about what happened to the victim.",,Lucio Fulci,"Jennifer O'Neill, Gabriele Ferzetti, Marc Porel, Gianni Garko"
908,Hell,https://www.imdb.com/title/tt1643222/,2011,R,89,"Horror, Sci-Fi, Thriller",5.8,"In the not too distant future, people struggle to survive their greatest enemy, the sun.",,Tim Fehlbaum,"Lilo Baur, Marco Calamandrei, Lisa Vicari, Lars Eidinger"
909,Razorback,https://www.imdb.com/title/tt0087981/,1984,,95,"Horror, Thriller",6.0,"As a vicious wild boar terrorizes the Australian outback, the husband of one of the victims is joined by a hunter and a farmer in a search for the beast.","150,000",Russell Mulcahy,"Gregory Harrison, Arkie Whiteley, Bill Kerr, Chris Haywood"
910,Raw Force,https://www.imdb.com/title/tt0084573/,1982,,86,"Adventure, Horror, Action",5.4,See full summary,,Edward D. Murphy,"Cameron Mitchell, Geoffrey Binney, Hope Holiday, Jillian Kesner"
911,Wendigo,https://www.imdb.com/title/tt0275067/,2001,R,91,"Horror, Mystery, Thriller",5.0,See full summary,"100,319",Larry Fessenden,"Patricia Clarkson, Jake Weber, Erik Per Sullivan, John Speredakos"
912,The Brain,https://www.imdb.com/title/tt0094794/,1988,,94,"Horror, Sci-Fi",5.4,"With the help of an alien organism, a man brainwashes audiences through television; a troubled high school student is determined to stop them.",,Ed Hunt,"Tom Bresnahan, Cynthia Preston, David Gale, George Buza"
913,Poison,https://www.imdb.com/title/tt0102687/,1991,R,85,"Drama, Horror, Romance",6.5,"A boy shoots his father and flies out the window. A man falls in love with a fellow inmate in prison. A doctor accidentally ingests his experimental sex serum, wrecking havoc on the community.","609,524",Todd Haynes,"Edith Meeks, Larry Maxwell, Susan Norman, Millie White"
914,Terror Firmer,https://www.imdb.com/title/tt0169299/,1999,R,124,"Comedy, Horror",6.2,A homicidal maniac is on the loose in the city and the low-budget film crew of a Troma movie has the power to stop them.,"1,434",Lloyd Kaufman,"Will Keenan, Alyce LaTourelle, Lloyd Kaufman, Trent Haaga"
915,The Hive,https://www.imdb.com/title/tt3745906/,2014,R,93,"Horror, Sci-Fi, Thriller",5.2,A young man suffering from amnesia must dig deep into the far reaches of his mind to remember who he is and save the love of his life before a virus that has infected him takes over.,,David Yarovesky,"Gabriel Basso, Sean Gunn, Kathryn Prescott, Gabrielle Walsh"
916,The Clinic,https://www.imdb.com/title/tt1345772/,2010,R,94,"Crime, Horror, Mystery",5.4,"While traveling across country with her fiancÃ©, Beth wakes alone in an isolated clinic to find her unborn baby has been removed. Just how far will she go to get her child back?",,James Rabbitts,"Tabrett Bethell, Freya Stafford, Andy Whitfield, Clare Bowen"
917,Gin gwai,https://www.imdb.com/title/tt0325655/,2002,R,99,"Horror, Mystery",6.7,"A blind girl gets a cornea transplant so that she would be able to see again. However, she got more than what she bargained for when she realized she could even see ghosts.","503,714","Danny Pang, Oxide Chun Pang","Angelica Lee, Chutcha Rujinanon, Lawrence Chou, Jinda Duangtoy"
918,Moontrap,https://www.imdb.com/title/tt0097911/,1989,,92,"Horror, Sci-Fi",5.0,See full summary,,Robert Dyke,"Walter Koenig, Bruce Campbell, Leigh Lombardi, Robert Kurcz"
919,The Offspring,https://www.imdb.com/title/tt0091671/,1987,,99,"Action, Drama, Horror",5.9,"In a small Tennessee town, a historian relates four horror stories to a reporter.","1,355,728",Jeff Burr,"Vincent Price, Clu Gulager, Terry Kiser, Harry Caesar"
920,Dead Heat,https://www.imdb.com/title/tt0094961/,1988,,86,"Action, Comedy, Horror",6.1,A cop and his undead partner must chase down the diabolical villain who killed him.,"3,588,626",Mark Goldblatt,"Treat Williams, Joe Piscopo, Lindsay Frost, Darren McGavin"
921,The Mephisto Waltz,https://www.imdb.com/title/tt0067419/,1971,,115,"Horror, Mystery, Thriller",6.1,"An old, dying satanist arranges to transfer his soul into the body of a young concert pianist.",,Paul Wendkos,"Alan Alda, Jacqueline Bisset, Barbara Parkins, Bradford Dillman"
922,Link,https://www.imdb.com/title/tt0091415/,1986,,103,Horror,5.9,"When a Jane Chase, a young zoology student, is invited to assist anthropologist Steven Phillips with his experiments involving chimpanzees, mysterious events occur that all center around Phillip's super intelligent simian servant, Link.","1,720,450",Richard Franklin,"Terence Stamp, Elisabeth Shue, Steven Finch, Richard Garnett"
923,Eyes of Fire,https://www.imdb.com/title/tt0085515/,1983,,90,"Horror, Western",6.3,"A preacher is accused of adultery, and he and his followers are chased out of town. They become stranded in an isolated forest, which is haunted by the spirits of long dead Native Americans.",,Avery Crounse,"Dennis Lipscomb, Guy Boyd, Rebecca Stanley, Sally Klein"
924,The Broken,https://www.imdb.com/title/tt0906734/,2008,R,93,"Drama, Horror, Thriller",5.4,"After seeing herself drive down the street, Radiologist Gina McVey unravels a mystery centered around a broken mirror.",,Sean Ellis,"Lena Headey, Ulrich Thomsen, Melvil Poupaud, Michelle Duncan"
925,Grace,https://www.imdb.com/title/tt1220213/,2009,R,84,"Drama, Horror, Thriller",5.1,"After losing her unborn child, Madeline Matheson insists on carrying the baby to term. Following the delivery, the child miraculously returns to life with an appetite for human blood. Madeline is faced with a mother's ultimate decision.","6,174",Paul Solet,"Jordan Ladd, Samantha Ferris, Gabrielle Rose, Stephen Park"
926,Scream and Scream Again,https://www.imdb.com/title/tt0064949/,1970,R,95,"Crime, Drama, Horror",5.6,A serial killer who drains his victims' blood is on the loose in London. The police follow him to a house owned by an eccentric scientist.,"376,600",Gordon Hessler,"Vincent Price, Christopher Lee, Peter Cushing, Judy Huxtable"
927,Bruiser,https://www.imdb.com/title/tt0212830/,2000,R,99,"Horror, Mystery",5.3,"After years of being tread upon and cheated on, a man awakens to find his face has a been replaced by a blank, white mask.",,George A. Romero,"Jason Flemyng, Peter Stormare, Leslie Hope, Nina Garbiras"
928,La notte che Evelyn uscÃ¬ dalla tomba,https://www.imdb.com/title/tt0067487/,1971,,103,"Horror, Mystery, Thriller",5.7,"A rich, mentally unstable man who's obsessed with his deceased wife invites women to the family castle for a game of deadly S&M. He suddenly decides to get married to the beautiful Gladys, but does she have his best interests at heart?",,Emilio Miraglia,"Anthony Steffen, Marina Malfatti, Enzo Tarascio, Giacomo Rossi Stuart"
929,Watchers,https://www.imdb.com/title/tt0096425/,1988,,91,"Action, Horror, Sci-Fi",5.4,"A boy takes in a stray dog, later discovering that it is an ultra-intelligent runaway being stalked by a dangerous creature from the same genetic research lab.","940,173",Jon Hess,"Corey Haim, Michael Ironside, Christopher Cary, Graeme Campbell"
930,Citizen Toxie: The Toxic Avenger IV,https://www.imdb.com/title/tt0212879/,2000,R,109,"Action, Comedy, Fantasy",6.2,"The Toxic Avenger must defend his friends from his own evil alternate universe doppelgÃ¤nger, The Noxious Offender.",,Lloyd Kaufman,"David Mattey, Clyde Lewis, Heidi Sjursen, Paul Kyrmse"
931,La tua presenza nuda!,https://www.imdb.com/title/tt0067489/,1972,,89,"Crime, Drama, Horror",6.0,"A wealthy author's second wife begins to suspect that her 12 year old stepson may have murdered his mother, who mysteriously died in a bathtub accident.",,"James Kelley, Andrea Bianchi","Mark Lester, Britt Ekland, Hardy KrÃ¼ger, Lilli Palmer"
932,Gatto nero,https://www.imdb.com/title/tt0080440/,1981,,92,Horror,5.9,A professor with the psychic ability to communicate with the dead uses his powers on his pet cat in order to take vengeance upon his enemies.,,Lucio Fulci,"Patrick Magee, Mimsy Farmer, David Warbeck, Al Cliver"
933,Nightmare Beach,https://www.imdb.com/title/tt0095740/,1989,,90,Horror,5.3,"After the execution of a motorcycle gang leader convicted of murder, a helmeted biker goes on a killing spree during spring break in Florida.",,"James Justice, Umberto Lenzi","Nicolas De Toth, Sarah Buxton, Rawley Valverde, Lance LeGault"
934,Laid to Rest,https://www.imdb.com/title/tt1228933/,2009,R,90,"Horror, Thriller",5.3,A young girl wakes up in a casket with a head injury and no memory of her identity. She quickly realizes she was abducted by a serial killer and she must fight to survive.,,Robert Hall,"Bobbi Sue Luther, Kevin Gage, Lena Headey, Sean Whalen"
935,Jug Face,https://www.imdb.com/title/tt2620736/,2013,R,81,"Drama, Horror, Thriller",5.2,Jug Face tells the story of a pregnant teen trying to escape a backwoods community when she discovers that she may be sacrificed to a creature in a pit.,,Chad Crawford Kinkle,"Sean Bridgers, Lauren Ashley Carter, Kaitlin Cullum, Larry Fessenden"
936,Highwaymen,https://www.imdb.com/title/tt0339147/,2004,R,80,"Action, Crime, Horror",5.7,Rennie Cray (Caviezel) embarks on a bloodthirsty rampage to avenge the death of his wife who was struck down by a serial killer - a man who hunts and kills women using his '72 El Dorado.,"367,027",Robert Harmon,"Jim Caviezel, Rhona Mitra, Frankie Faison, Colm Feore"
937,Demon Wind,https://www.imdb.com/title/tt0099401/,1990,,96,Horror,5.0,"With the need to investigate the mysterious death of his grandparents, Cory and his friends assemble back to the old farm where it all began, sixty years earlier.",,Charles Philip Moore,"Eric Larson, Francine LapensÃ©e, Rufus Norris, Jack Forcinito"
938,Chakushin ari,https://www.imdb.com/title/tt0366292/,2003,R,112,"Horror, Mystery",6.2,"People mysteriously start receiving voicemail messages from their future selves, foretelling their deaths.",,Takashi Miike,"Ko Shibasaki, Shin'ichi Tsutsumi, Kazue Fukiishi, Anna Nagata"
939,Dark Age,https://www.imdb.com/title/tt0092830/,1987,R,91,"Adventure, Horror",6.1,See full summary,,Arch Nicholson,"John Jarratt, Nikki Coghill, Max Phipps, Burnham Burnham"
940,Dead Birds,https://www.imdb.com/title/tt0377749/,2004,R,91,"Horror, Thriller, Western",5.6,A group of Confederate soldiers hole up in an abandoned plantation after robbing a bank and find themselves at the mercy of supernatural forces.,,Alex Turner,"Henry Thomas, Patrick Fugit, Nicki Aycox, Michael Shannon"
941,Rituals,https://www.imdb.com/title/tt0076630/,1977,,100,"Adventure, Horror, Thriller",6.3,"Five doctors on a wilderness outing are stalked by disfigured, crazed killers.",,Peter Carter,"Hal Holbrook, Lawrence Dane, Robin Gammell, Ken James"
942,Zombi Holocaust,https://www.imdb.com/title/tt0079788/,1980,,84,Horror,5.2,"An expedition in the East Indies, encounters not only the cannibals they were looking for, but also an evil scientist and his zombie army.",,Marino Girolami,"Ian McCulloch, Alexandra Delli Colli, Sherry Buchanan, Peter O'Neal"
943,The Mutations,https://www.imdb.com/title/tt0070423/,1974,,92,"Horror, Sci-Fi",5.1,"A scientist experiments with crossing humans and plants, for which he uses his students.",,Jack Cardiff,"Donald Pleasence, Tom Baker, Brad Harris, Julie Ege"
944,Maniac Cop 2,https://www.imdb.com/title/tt0100107/,1990,,90,"Crime, Horror, Action",5.9,"A supernatural, maniac killer cop teams up with a Times Square serial killer.",,William Lustig,"Robert Davi, Claudia Christian, Michael Lerner, Bruce Campbell"
945,Stitches,https://www.imdb.com/title/tt2126362/,2012,R,86,"Comedy, Horror",5.6,A clown comes back from the dead to haunt those who took his life during a fatal party mishap.,,Conor McMahon,"Ross Noble, Tommy Knight, Eoghan McQuinn, Gemma-Leah Devereux"
946,Cosa avete fatto a Solange?,https://www.imdb.com/title/tt0068416/,1972,,107,"Horror, Mystery, Thriller",7.0,"A teacher who is having an affair with one of his students takes her out on a boat. They see a knife killing on shore. Other gruesome murders start occurring shortly thereafter, and the teacher suspects that he may be the cause of them.",,Massimo Dallamano,"Fabio Testi, Karin Baal, Cristina GalbÃ³, Joachim Fuchsberger"
947,The Boogens,https://www.imdb.com/title/tt0082094/,1981,,95,"Horror, Sci-Fi, Thriller",5.6,"Otherworldly creatures are released from the bootleg tunnels underneath a small-town mining community, and begin chomping on the locals.",,James L. Conway,"Rebecca Balding, Fred McCarren, Anne-Marie Martin, Jeff Harlan"
948,The Slayer,https://www.imdb.com/title/tt0084694/,1982,,90,"Horror, Mystery",5.2,"Two couples become stranded on a rugged isle, and are haunted by a supernatural beast, drawn to the wife of one of the couples, who dreams of its killings.",,J.S. Cardone,"Sarah Kendall, Frederick Flynn, Carol Kottenbrook, Alan McRae"
949,Combat Shock,https://www.imdb.com/title/tt0090866/,1984,,91,"Drama, Horror, Thriller",6.4,"A dangerously disturbed Vietnam veteran struggles with life 15 years after his return home, and slowly falls into insanity from his gritty urban lifestyle.",,Buddy Giovinazzo,"Rick Giovinazzo, Veronica Stork, Mitch Maglio, Asaph Livni"
950,The Fan,https://www.imdb.com/title/tt0082362/,1981,,95,"Drama, Horror, Thriller",5.7,"Douglas, a record salesman, is an obsessive fan of actress Sally Ross. When his letters are rejected, he strikes out at her and her loved ones.",,Ed Bianchi,"Lauren Bacall, James Garner, Michael Biehn, Maureen Stapleton"
951,Nightmares,https://www.imdb.com/title/tt0086014/,1983,,99,"Horror, Sci-Fi",5.8,Anthology of four horror tales with a supernatural twist based on urban legends.,"6,670,680",Joseph Sargent,"Cristina Raines, Joe Lambie, Anthony James, Clare Torao"
952,Blue Sunshine,https://www.imdb.com/title/tt0074226/,1977,,94,"Horror, Thriller",6.0,"A bizarre series of murders begins in Los Angeles, where people start going bald and then become homicidal maniacs. But could the blame rest on a particularly dangerous form of LSD called Blue Sunshine the murderers took ten years before?",,Jeff Lieberman,"Zalman King, Deborah Winters, Mark Goddard, Robert Walden"
953,The Evil,https://www.imdb.com/title/tt0077524/,1978,,89,"Horror, Thriller",5.8,"A doctor buys a Civil War era dilapidated mansion, and hires a few friends to fix it up, but the mansion hides a deadly secret.",,Gus Trikonis,"Richard Crenna, Joanna Pettet, Andrew Prine, Cassie Yates"
954,Evilspeak,https://www.imdb.com/title/tt0082346/,1981,,97,Horror,5.7,An outcast military cadet taps into a way to summon demons and cast spells on his tormentors through his computer.,,Eric Weston,"Clint Howard, R.G. Armstrong, Joe Cortese, Claude Earl Jones"
955,Abominable,https://www.imdb.com/title/tt0402743/,2006,R,94,"Horror, Sci-Fi, Thriller",5.1,"A man, crippled in a climbing accident, returns to his cabin in the woods as part of his rehabilitation, but he wasn't prepared for the immanent onslaught.",,Ryan Schifrin,"Matt McCoy, Haley Joel, Christien Tinsley, Karin Anna Cheung"
956,The Woods,https://www.imdb.com/title/tt0380066/,2006,R,91,"Horror, Mystery, Thriller",5.7,"Set in 1965 New England, a troubled girl encounters mysterious happenings in the woods surrounding an isolated girls school that she was sent to by her disinterested parents.",,Lucky McKee,"Lauren Birkell, Agnes Bruckner, Jane Gilchrist, Emma Campbell"
957,A Fantastic Fear of Everything,https://www.imdb.com/title/tt2006040/,2012,R,100,"Comedy, Horror",5.8,"A crime novelist, whose research on Victorian serial killers has turned him into a paranoid wreck, must confront his worst fears, when a film executive takes a sudden interest in his movie script.",,"Crispian Mills, Chris Hopewell","Simon Pegg, Paul Freeman, Amara Karan, Clare Higgins"
958,Outpost,https://www.imdb.com/title/tt0892899/,2008,R,90,"Action, Horror, Sci-Fi",5.8,"In war-torn Eastern Europe, a world-weary group of mercenaries discover a long-hidden secret in an abandoned WWII bunker.",,Steve Barker,"Ray Stevenson, Julian Wadham, Richard Brake, Paul Blair"
959,Spellbinder,https://www.imdb.com/title/tt0096152/,1988,,99,"Drama, Horror, Romance",5.8,"A young lawyer, after falling in love with a beautiful woman, finds that she has an extremely mysterious past.","1,938,049",Janet Greek,"Tim Daly, Kelly Preston, Rick Rossovich, Audra Lindley"
960,La tarantola dal ventre nero,https://www.imdb.com/title/tt0069343/,1971,,89,"Horror, Mystery, Thriller",6.4,"A series of victims are paralyzed while having their bellies ripped open, much in the same way tarantulas are killed by the black wasp. The victims all seem to have a connection with a spa.",,Paolo Cavara,"Giancarlo Giannini, Claudine Auger, Barbara Bouchet, Rossella Falk"
961,Timber Falls,https://www.imdb.com/title/tt0857295/,2007,R,100,"Horror, Thriller",5.2,"A weekend of camping in the mountains becomes an excursion into hell for a young couple, who become pawns in a grotesque plot hatched by deranged locals.","50,000",Tony Giglio,"Josh Randall, Brianna Brown, Nick Searcy, Beth Broderick"
962,American Gothic,https://www.imdb.com/title/tt0094642/,1987,,90,Horror,5.9,"A group of travellers make emergency landing on an island in the Pacific Northwest after their seaplane malfunctioned, and stumble across an isolated and psychopathic family.",,John Hough,"Sarah Torgov, Terence Kelly, Mark Erickson, Caroline Barclay"
963,Autopsy,https://www.imdb.com/title/tt0443435/,2008,R,84,"Horror, Mystery, Thriller",5.0,A young woman tries to find her injured boyfriend in a bizzare and dangerous hospital.,,Adam Gierasch,"Jessica Lowndes, Ross Kohn, Ross McCall, Ashley Schneider"
964,El habitante incierto,https://www.imdb.com/title/tt0436374/,2004,R,90,"Drama, Horror, Mystery",6.8,"In the dark corridors of FÃ©lix's house, an intruder is hiding. Is he real, or is he a manifestation inside the obscure maze of his mind?",,Guillem Morales,"Andoni Gracia, MÃ³nica LÃ³pez, Francesc Garrido, AgustÃ­ Villaronga"
965,Eyes of a Stranger,https://www.imdb.com/title/tt0082352/,1981,,84,"Horror, Thriller",6.0,"A reporter suspects a creepy neighbor, who lives in the high-rise building across from hers, is a serial killer terrorizing the Miami area.","1,118,634",Ken Wiederhorn,"Lauren Tewes, Jennifer Jason Leigh, John DiSanti, Peter DuPre"
966,Phantasm III: Lord of the Dead,https://www.imdb.com/title/tt0110823/,1994,R,91,"Action, Fantasy, Horror",6.1,"Mike and Reggie continue to hunt the mysterious Tall Man, discovering along the way that the invasion has already begun.",,Don Coscarelli,"Reggie Bannister, A. Michael Baldwin, Bill Thornbury, Gloria Lynne Henry"
967,"Alucarda, la hija de las tinieblas",https://www.imdb.com/title/tt0075666/,1977,,78,"Horror, Thriller",6.3,"After the death of her parents, a young girl arrives at a convent and brings a sinister presence with her. Is it her enigmatic imaginary friend, Alucarda, who is to blame? Or is there a satanic force at work?",,Juan LÃ³pez Moctezuma,"Claudio Brook, David Silva, Tina Romero, Susana Kamini"
968,Death Line,https://www.imdb.com/title/tt0068458/,1972,,87,Horror,6.0,"When a government official disappears in the London tunnels, after several reports of missing people in the same location, Scotland Yard start to take the matter seriously, along with a couple who stumble into a victim by accident.",,Gary Sherman,"Donald Pleasence, Norman Rossington, David Ladd, Sharon Gurney"
969,"I, Madman",https://www.imdb.com/title/tt0097557/,1989,,89,"Fantasy, Horror, Thriller",6.0,A bookshop clerk finds that an insane and murderous doctor from one of the store's horror novels has come to life.,"151,203",Tibor TakÃ¡cs,"Jenny Wright, Clayton Rohner, Randall William Cook, Stephanie Hodge"
970,Vampire,https://www.imdb.com/title/tt1624996/,2011,R,120,"Drama, Horror, Thriller",5.3,"A biology teacher looks for young suicidal women online to satisfy his taste for blood. Rather than violent, his acts are quite peaceful and always consented.",,Shunji Iwai,"Kevin Zegers, Keisha Castle-Hughes, Amanda Plummer, Trevor Morgan"
971,Gallows Hill,https://www.imdb.com/title/tt2387408/,2013,R,87,"Horror, Mystery, Thriller",5.2,"After a family is involved in an accident, they take refuge in a secluded inn where they free a girl locked in a basement without knowing she's an ancient evil spirit.",,VÃ­ctor GarcÃ­a,"Peter Facinelli, Sophia Myles, Nathalia Ramos, Sebastian MartÃ­nez"
972,Hide and Go Shriek,https://www.imdb.com/title/tt0095299/,1988,,90,"Horror, Thriller",5.4,A group of teenagers spend the night in a furniture store for a graduation party. A psycho killer starts hunting them down one by one.,,Skip Schoolnik,"Bunky Jones, Brittain Frye, Annette Sinclair, George Thomas"
973,Meet the Applegates,https://www.imdb.com/title/tt0100129/,1990,,90,"Comedy, Fantasy, Horror",5.5,"Modelling themselves after an idyllic cookie-cutter suburban 1950s family, a colony of insects move from South America into the United States with the intent of getting access to the nation's nuclear resources.","485,772",Michael Lehmann,"Ed Begley Jr., Stockard Channing, Dabney Coleman, Robert Jayne"
974,Boyz in the Wood,https://www.imdb.com/title/tt9735758/,2019,R,87,"Action, Comedy, Horror",6.9,"Set deep in the Scottish Highlands, Boyz In The Wood is an anarchic cocktail of generational politics, hip-hop loving farmers, and hallucinogenic rabbit shites.",,Ninian Doff,"Eddie Izzard, Kate Dickie, James Cosmo, Kevin Guthrie"
975,Malevolence,https://www.imdb.com/title/tt0388230/,2004,R,90,"Crime, Horror, Mystery",5.1,"It's ten years after the kidnapping of Martin Bristol. Taken from a backyard swing at his home at the age of six, he is forced to witness unspeakable crimes of a deranged madman. For years, Martin's whereabouts have remained a mystery...until now.",,Stevan Mena,"R. Brandon Johnson, Samantha Dark, Heather Magee, Richard Glover"
976,Les riviÃ¨res pourpres 2 - Les anges de l'apocalypse,https://www.imdb.com/title/tt0337103/,2004,R,97,"Action, Crime, Horror",6.0,Pierre Niemans faces the threat of the apocalypse while investigating a series of ritual murders.,,Olivier Dahan,"Jean Reno, BenoÃ®t Magimel, Christopher Lee, Camille Natta"
977,Doctor Mordrid,https://www.imdb.com/title/tt0104115/,1992,,74,"Action, Fantasy, Horror",5.6,"An unspeakable evil has come into our dimension and wants to rule over Earth, and only a mysterious sorceror known as Doctor Mordrid can stop him.",,"Albert Band, Charles Band","Jeffrey Combs, Yvette Nipar, Jay Acovone, Keith Coulouris"
978,La setta,https://www.imdb.com/title/tt0100581/,1991,,125,Horror,6.2,"A lonely kindergarten teacher discovers a secret well in the basement of her house, and soon finds herself being followed by a murderous Satanic cult.",,Michele Soavi,"Kelly Curtis, Herbert Lom, Mariangela Giordano, Michel Adatte"
979,The Reincarnation of Peter Proud,https://www.imdb.com/title/tt0073615/,1975,,105,"Horror, Mystery",6.5,"When college professor, Peter Proud begins experiencing flashbacks of an earlier life, he's mysteriously drawn to a place he's never been to, but which seems familiar and where he soon finds his previous incarnation's wife.",,J. Lee Thompson,"Michael Sarrazin, Jennifer O'Neill, Margot Kidder, Cornelia Sharpe"
980,"Ultramarines: A Warhammer 40,000 Movie",https://www.imdb.com/title/tt1679332/,2010,R,70,"Animation, Action, Fantasy",5.6,"A squad of Ultramarines answer a distress call from an Imperial Shrine World. A full Company of Imperial Fists was stationed there, but there is no answer from them. The squad investigates to find out what has happened there.",,Martyn Pick,"Terence Stamp, John Hurt, Sean Pertwee, Steven Waddington"
981,The Tortured,https://www.imdb.com/title/tt1017464/,2010,R,79,"Horror, Thriller",5.5,"An upper-middle-class couple's life is destroyed when their only child is kidnapped and killed. Obsessed with revenge, the couple seizes an opportunity to kidnap the killer.",,Robert Lieberman,"Erika Christensen, Jesse Metcalfe, Bill Lippincott, Bill Moseley"
982,Mikey,https://www.imdb.com/title/tt0104870/,1992,R,90,"Horror, Thriller",5.7,A seemingly innocent and sweet little boy causes murder and mayhem in his new neighborhood and falls for the teenage girl next-door.,,Dennis Dimster,"Brian Bonsall, Josie Bissett, Ashley Laurence, Mimi Craven"
983,"Fear, Inc.",https://www.imdb.com/title/tt3560148/,2016,R,90,"Action, Comedy, Horror",5.6,A horror junkie and his friends sign up with a company that brings their customer's greatest fears to life.,,Vincent Masciale,"Lucas Neff, Caitlin Stasey, Chris Marquette, Stephanie Drake"
984,Bad Milo!,https://www.imdb.com/title/tt2274570/,2013,R,85,"Comedy, Horror",5.6,A man learns that his unusual stomach pains are being caused by a demon living in his intestines.,"19,613",Jacob Vaughan,"Ken Marino, Gillian Jacobs, Patrick Warburton, Mary Kay Place"
985,Katakuri-ke no kÃ´fuku,https://www.imdb.com/title/tt0304262/,2001,R,113,"Comedy, Fantasy, Horror",7.1,"A family moves to the country to run a rustic mountain inn when, to their horror, the customers begin befalling sudden and unlikely fates.",,Takashi Miike,"Kenji Sawada, Keiko Matsuzaka, Shinji Takeda, Naomi Nishida"
986,Forget Me Not,https://www.imdb.com/title/tt1147684/,2009,R,103,"Horror, Romance, Thriller",5.2,Recent high school graduates become prey of the vengeful spirit of an innocent girl they wronged long ago.,,Tyler Oliver,"Carly Schroeder, Cody Linley, Brie Gabrielle, Micah Alberti"
987,Man's Best Friend,https://www.imdb.com/title/tt0107504/,1993,R,87,"Comedy, Horror, Sci-Fi",5.2,A genetically engineered dog escapes from the science facility where it was created. A family takes it in unaware of its deadly instincts which soon emerge. The scientist who created the dog tries to find it before its too late.,"12,974,636",John Lafia,"Ally Sheedy, Lance Henriksen, Robert Costanzo, Fredric Lehne"
988,The Forsaken,https://www.imdb.com/title/tt0245120/,2001,R,90,"Action, Horror, Thriller",5.3,A young man gets embroiled in a war against vampires.,"7,288,451",J.S. Cardone,"Kerr Smith, Brendan Fehr, Izabella Miko, Johnathon Schaech"
989,The Pit,https://www.imdb.com/title/tt0086113/,1981,,96,"Horror, Mystery",5.9,A solitary and strange preteen boy wreaks revenge on his harassers when he makes a disturbing discovery in the depth of a forest.,,Lew Lehman,"Sammy Snyders, Jeannie Elias, Sonja Smits, Laura Hollingsworth"
990,Donkey Punch,https://www.imdb.com/title/tt0988849/,2008,R,99,"Crime, Drama, Horror",5.1,Things go drastically wrong for a group of British holidaymakers in Spain.,"18,378",Olly Blackburn,"Sian Breckin, Nichola Burley, Jaime Winstone, Robert Boulter"
991,Wilderness,https://www.imdb.com/title/tt0465670/,2006,R,93,Horror,6.1,"Juvenile delinquents are sent to a small British island after a fellow prisoner's death, where they have to fight for survival.",,M.J. Bassett,"Sean Pertwee, Alex Reid, Toby Kebbell, Stephen Wight"
